Id,Type
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/0.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/1.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/10.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/100.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/101.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/102.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/103.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/104.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/105.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/106.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/107.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/108.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/109.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/11.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/110.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/111.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/112.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/113.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/114.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/115.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/116.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/117.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/118.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/119.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/12.jpg,Glioma
